ANT1,-20.40,-29.70,90.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,51.90,3.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,55.60,3.70,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,59.20,3.70,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,62.90,3.70,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,66.50,3.70,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,70.10,3.70,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,73.80,3.70,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C15,77.40,3.70,0.00,1.0uF,NORDIC_NRF_3_RESC0201_L
C16,81.10,3.70,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,84.70,3.70,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C18,88.30,3.70,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C19,92.00,3.70,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,95.60,3.70,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,99.30,3.70,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,102.90,3.70,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C21,106.50,3.70,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C22,110.20,3.70,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-41.60,-5.60,90.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C24,-42.40,-5.60,90.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-41.50,0.30,90.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,27.10,-46.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,30.80,-46.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,34.50,-46.20,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,38.10,-46.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,41.80,-46.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,45.50,-46.30,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
